id,name
0,"In the dark, a person reaches for and picks up a cup. They use touch to locate it, then bring it to their mouth and drink. Movements of the arm, hand, and mouth can be seen, but the cup's shape and weight remain unknown. Finally, the cup is put back."
1,"In the dark, a person crouches down and then springs upward, using their legs to propel them into the air. Their body straightens out as they rise, and they land back on the ground. The movement of their legs and body can be observed, but due to the darkness, details such as the texture of the ground cannot be seen."
2,"In the dark, a person reaches out their arm to find an object and uses touch to locate it. Once they have located it, they grasp it with their hand and lift it up. The movement of their arm and hand can be observed, but due to the darkness, the shape and texture of the object cannot be seen."
3,"In the dark, a person reaches for a cup and picks it up. They then grasp a container of liquid and tilt it, pouring the liquid into the cup. The movements of their hand and arm can be seen, but due to the darkness, details such as the color and texture of the liquid cannot be seen."
4,"In the dark, a person pushes on an object with their hands or body, exerting force to move it. The movement of their hands and body can be observed, but due to the darkness, details such as the texture and shape of the object cannot be seen."
5,"In the dark, a person moves their legs quickly to move forward. The movements of their legs and body can be seen, but due to the darkness, details such as the texture of the ground or their surroundings cannot be seen."
6,"In the dark, a person crouches down and then lowers themselves onto a surface, resting their weight on it. The movement of their legs and body can be observed, but due to the darkness, details such as the texture and color of the surface cannot be seen."
7,"In the dark, a person rises to a standing position, using their legs to lift themselves up. The movement of their legs and body can be observed, but due to the darkness, details such as the texture of the ground cannot be seen."
8,"In the dark, a person rotates their body to face a different direction. The movement of their legs and body can be observed, but due to the darkness, details such as the surroundings or objects cannot be seen."
9,"In the dark, a person moves their legs to slowly and steadily move forward. The movements of their legs and body can be observed, but due to the darkness, details such as the texture of the ground or their surroundings cannot be seen."
10,"In the dark, a person moves their arm back and forth in a gesture of greeting or farewell. The movement of their arm can be observed, but due to the darkness, details such as their surroundings or the person they are waving to cannot be seen."
